"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","url","stimulus","button_pressed","answer"
"-1","-1","single-stim","27","62599","0.0-27.0","","","practiceimages/cat2.jpg","",""
"357","","button-response","28","63958","0.0-28.0","","","","0",""
"-1","-1","single-stim","29","65461","0.0-29.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","30","67464","0.0-30.0","","","practiceimages/dog1.jpg","",""
"419","","button-response","31","68886","0.0-31.0","","","","0",""
"2212","13","text","32","72098","0.0-32.0","","","","",""
"-1","-1","single-stim","33","73600","0.0-33.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","34","75602","0.0-34.0","","","Blobs/LowSimilarity/d02.gif","",""
"431","","button-response","35","77038","0.0-35.0","","","","0",""
"-1","-1","single-stim","36","78539","0.0-36.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","37","80542","0.0-37.0","","","Blobs/LowSimilarity/a10.gif","",""
"170","","button-response","38","81714","0.0-38.0","","","","0",""
"-1","-1","single-stim","39","83216","0.0-39.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","40","85219","0.0-40.0","","","Blobs/LowSimilarity/c08.gif","",""
"148","","button-response","41","86369","0.0-41.0","","","","0",""
"-1","-1","single-stim","42","87871","0.0-42.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","43","89872","0.0-43.0","","","Blobs/LowSimilarity/b16.gif","",""
"54","","button-response","44","90927","0.0-44.0","","","","0",""
"-1","-1","single-stim","45","92428","0.0-45.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","46","94430","0.0-46.0","","","Blobs/LowSimilarity/d14.gif","",""
"73","","button-response","47","95504","0.0-47.0","","","","0",""
"-1","-1","single-stim","48","97006","0.0-48.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","49","99010","0.0-49.0","","","Blobs/LowSimilarity/a06.gif","",""
"266","","button-response","50","100277","0.0-50.0","","","","0",""
"-1","-1","single-stim","51","101779","0.0-51.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","52","103781","0.0-52.0","","","Blobs/LowSimilarity/c04.gif","",""
"132","","button-response","53","104914","0.0-53.0","","","","0",""
"-1","-1","single-stim","54","106417","0.0-54.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","55","108419","0.0-55.0","","","Blobs/LowSimilarity/b13.gif","",""
"140","","button-response","56","109562","0.0-56.0","","","","0",""
"-1","-1","single-stim","57","111063","0.0-57.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","58","113065","0.0-58.0","","","Blobs/LowSimilarity/d12.gif","",""
"102","","button-response","59","114168","0.0-59.0","","","","0",""
"-1","-1","single-stim","60","115670","0.0-60.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","61","117673","0.0-61.0","","","Blobs/LowSimilarity/a09.gif","",""
"151","","button-response","62","118824","0.0-62.0","","","","0",""
"-1","-1","single-stim","63","120325","0.0-63.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","64","122327","0.0-64.0","","","Blobs/LowSimilarity/c09.gif","",""
"165","","button-response","65","123495","0.0-65.0","","","","0",""
"-1","-1","single-stim","66","124997","0.0-66.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","67","126999","0.0-67.0","","","Blobs/LowSimilarity/b14.gif","",""
"20","","button-response","68","128021","0.0-68.0","","","","0",""
"-1","-1","single-stim","69","129524","0.0-69.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","70","131526","0.0-70.0","","","Blobs/LowSimilarity/d16.gif","",""
"257","","button-response","71","132784","0.0-71.0","","","","0",""
